Month	ES-epi	RJ-epi	MG-epi	SP-epi	ES-h	RJ-h	MG-h	SP-h
01/01/2007	0	0	5	0	0	0	0	0
01/02/2007	0	0	1	0	0	0	0	0
01/03/2007	0	0	2	0	0	0	0	0
01/04/2007	0	0	1	0	0	0	0	0
01/05/2007	0	0	4	0	0	0	0	0
01/06/2007	0	0	3	0	0	0	0	0
01/07/2007	0	0	7	0	0	0	0	0
01/08/2007	0	0	1	0	0	0	0	0
01/09/2007	0	0	2	0	0	0	0	0
01/10/2007	0	0	0	0	0	0	0	0
01/11/2007	0	0	7	0	0	0	0	0
01/12/2007	0	0	1	0	0	0	0	0
01/01/2008	0	0	0	8	0	0	2	15
01/02/2008	0	0	0	0	0	0	1	2
01/03/2008	0	0	2	1	0	0	2	0
01/04/2008	0	0	3	1	0	0	1	0
01/05/2008	0	0	3	0	0	0	0	0
01/06/2008	0	0	1	0	0	0	0	0
01/07/2008	0	0	3	0	0	0	0	0
01/08/2008	0	0	1	0	0	0	0	0
01/09/2008	0	0	0	0	0	0	12	0
01/10/2008	0	0	1	0	0	0	0	0
01/11/2008	0	0	0	0	0	0	0	0
01/12/2008	0	0	2	0	0	0	0	0
01/01/2009	0	0	1	0	0	0	0	0
01/02/2009	0	0	0	3	0	0	0	0
01/03/2009	0	0	4	24	0	0	0	1
01/04/2009	0	0	1	1	0	0	0	4
01/05/2009	0	0	1	0	0	0	0	0
01/06/2009	0	0	1	0	0	0	0	0
01/07/2009	0	0	1	0	0	0	0	0
01/08/2009	0	0	2	0	0	0	0	0
01/09/2009	0	0	2	0	0	0	0	0
01/10/2009	0	0	0	0	0	0	0	0
01/11/2009	0	0	2	0	0	0	0	0
01/12/2009	0	0	1	0	0	0	0	0
01/01/2010	0	0	0	0	0	0	0	0
01/02/2010	0	0	0	0	0	0	0	0
01/03/2010	0	0	2	0	0	0	0	0
01/04/2010	0	0	0	0	0	0	0	0
01/05/2010	0	0	0	0	0	0	0	0
01/06/2010	0	0	1	0	0	0	0	0
01/07/2010	0	0	3	0	0	0	0	0
01/08/2010	0	0	0	0	0	0	0	0
01/09/2010	0	0	2	0	0	0	0	0
01/10/2010	0	0	2	0	0	0	0	0
01/11/2010	0	0	4	0	0	0	0	0
01/12/2010	0	0	0	0	0	0	0	0
01/01/2011	0	0	1	0	0	0	0	0
01/02/2011	0	0	2	0	0	0	0	0
01/03/2011	0	0	4	0	0	0	0	0
01/04/2011	0	0	0	0	0	0	0	0
01/05/2011	0	0	1	0	0	0	0	0
01/06/2011	0	0	0	0	0	0	0	0
01/07/2011	0	0	1	0	0	0	0	0
01/08/2011	0	0	0	0	0	0	0	0
01/09/2011	0	0	3	0	0	0	0	0
01/10/2011	0	0	0	0	0	0	0	0
01/11/2011	0	0	2	0	0	0	0	0
01/12/2011	0	0	0	0	0	0	0	0
01/01/2012	0	0	0	0	0	0	0	0
01/02/2012	0	0	3	0	0	0	0	0
01/03/2012	0	0	3	0	0	0	0	0
01/04/2012	0	0	1	0	0	0	0	0
01/05/2012	0	0	0	0	0	0	0	0
01/06/2012	0	0	3	0	0	0	0	0
01/07/2012	0	0	2	0	0	0	0	0
01/08/2012	0	0	1	0	0	0	0	0
01/09/2012	0	0	3	0	0	0	0	0
01/10/2012	0	0	4	0	0	0	0	0
01/11/2012	0	0	2	0	0	0	0	0
01/12/2012	0	0	1	0	0	0	0	0
01/01/2013	0	0	0	0	0	0	0	0
01/02/2013	0	0	0	0	0	0	0	0
01/03/2013	0	0	1	0	0	0	0	0
01/04/2013	0	0	3	0	0	0	0	0
01/05/2013	0	0	0	0	0	0	0	0
01/06/2013	0	0	3	0	0	0	0	0
01/07/2013	0	0	1	0	0	0	0	0
01/08/2013	0	0	1	0	0	0	0	0
01/09/2013	0	0	0	0	0	0	0	0
01/10/2013	0	0	1	0	0	0	0	0
01/11/2013	0	0	1	0	0	0	0	0
01/12/2013	0	0	1	0	0	0	0	0
01/01/2014	0	0	0	0	0	0	0	0
01/02/2014	0	0	2	0	0	0	0	0
01/03/2014	0	0	0	0	0	0	0	0
01/04/2014	0	0	7	0	0	0	0	0
01/05/2014	0	0	2	0	0	0	0	0
01/06/2014	0	0	1	0	0	0	0	0
01/07/2014	0	0	2	0	0	0	0	0
01/08/2014	0	0	1	0	0	0	0	0
01/09/2014	0	0	1	0	0	0	0	0
01/10/2014	0	0	0	0	0	0	0	0
01/11/2014	0	0	1	0	0	0	0	0
01/12/2014	0	0	1	0	0	0	0	0
01/01/2015	0	0	1	1	0	0	0	0
01/02/2015	0	0	0	0	0	0	0	0
01/03/2015	0	1	61	0	0	0	1	0
01/04/2015	0	0	0	0	0	0	0	0
01/05/2015	0	0	0	0	0	0	2	0
01/06/2015	0	0	0	0	0	0	0	0
01/07/2015	0	0	0	0	0	0	0	0
01/08/2015	0	0	0	0	0	0	4	0
01/09/2015	0	0	0	0	0	0	0	0
01/10/2015	0	0	0	0	0	0	0	0
01/11/2015	0	0	0	0	0	0	0	0
01/12/2015	0	0	0	0	0	0	0	0
01/01/2016	0	0	0	0	0	0	0	0
01/02/2016	0	0	0	0	0	0	0	0
01/03/2016	0	0	1	1	0	0	3	0
01/04/2016	0	0	0	0	0	0	1	0
01/05/2016	0	0	0	0	0	0	0	0
01/06/2016	0	0	0	0	0	0	0	0
01/07/2016	0	0	0	0	0	0	2	0
01/08/2016	0	0	0	0	0	0	2	4
01/09/2016	0	0	0	0	0	0	0	0
01/10/2016	0	0	0	0	0	0	1	11
01/11/2016	0	0	0	0	0	0	0	12
01/12/2016	0	0	4	4	0	0	0	8
01/01/2017	73	0	368	3	96	0	73	4
01/02/2017	50	1	35	0	27	3	31	3
01/03/2017	68	10	10	11	14	3	0	35
01/04/2017	56	7	5	5	2	9	0	54
01/05/2017	2	5	1	1	0	3	0	15
01/06/2017	1	1	2	0	0	1	0	14
01/07/2017	1	1	0	0	0	0	7	23
01/08/2017	1	0	0	0	0	0	5	9
01/09/2017	0	0	0	1	0	0	0	89
01/10/2017	0	0	0	0	0	2	9	133
01/11/2017	0	0	0	0	0	3	14	132
01/12/2017	1	0	0	0	1	2	14	175
01/01/2018	3	100	302	248	1	17	72	126
01/02/2018	0	116	186	108	0	26	9	39
01/03/2018	0	33	25	110	0	6	3	50
01/04/2018	0	28	6	27	0	17	5	18
01/05/2018	0	2	0	6	0	1	1	9
01/06/2018	0	1	0	0	0	0	0	5
